Customer Name,Consistency of Work & Gigs,Freelancing Experience (years),Income Diversification,Financial Risk Events,FICO Score,Credit Score,IScore,Interest Rate (%),Loan Eligibility
1,9,0,3,3,602,151000,481.6216216,16.93487905,0
2,5,10,2,0,836,268000,601.6216216,9.22282926,0
3,4,16,3,3,570,135000,643.7837838,19.52145501,0
4,6,10,5,0,423,61500,660,0,1
5,3,4,3,1,432,66000,462.1621622,0,1
6,5,5,2,3,773,236500,471.8918919,10.25663122,0
7,1,2,4,2,401,50500,387.5675676,0,1
8,2,12,3,3,706,203000,540,10.50973898,0
9,6,20,1,0,559,129500,770.2702703,20.81013979,0
10,10,5,1,2,709,204500,572.4324324,11.59649166,0
11,2,18,5,1,701,200500,695.6756757,13.22175156,0
12,8,0,4,3,758,229000,475.1351351,11.50961053,0
13,3,0,2,1,693,196500,384.3243243,17.42438596,0
14,4,17,1,0,541,120500,682.7027027,18.02229263,0
15,1,13,2,0,837,268500,572.4324324,8.235653302,0
16,5,1,1,2,833,266500,410.2702703,7.457075972,0
17,7,15,5,0,505,102500,760.5405405,21.96052814,0
18,10,13,4,3,734,217000,724.8648649,12.67049854,0
19,9,13,2,1,543,121500,711.8918919,18.7495883,0
20,4,8,5,0,796,248000,588.6486486,13.67950999,0
21,8,9,3,1,800,250000,640.5405405,10.46763299,0
22,10,6,4,1,513,106500,643.7837838,18.30495886,0
23,1,6,5,3,430,65000,449.1891892,0,1
24,8,12,1,1,586,143000,663.2432432,18.46553318,0
25,4,4,5,3,568,134000,475.1351351,21.53931501,0
26,9,17,2,0,673,186500,792.972973,17.58116469,0
27,7,3,3,2,754,227000,507.5675676,10.93855274,0
28,8,15,1,0,431,65500,728.1081081,0,1
29,10,1,5,3,386,43000,543.2432432,0,1
30,8,15,1,1,625,162500,711.8918919,15.91366988,0
31,4,14,4,0,840,270000,672.972973,9.405607331,0
32,7,5,4,2,638,169000,552.972973,17.10888692,0
33,7,0,2,3,803,251500,429.7297297,9.683826128,0
34,3,12,1,1,358,29000,565.9459459,0,1
