Name,Address,Club Name,University Name,Car Model,Consistency of Work & Gigs,Freelancing Experience (years),Income Diversification,Financial Risk Events,FICO Score,Credit Score,IScore,Interest Rate (%),Loan Eligibility
0,0,4488079,2492,702477,5,9,2,1,306,3000,572.5898819828018,0.0,1
1,1,3581149,521,4647789,7,8,2,1,314,7000,574.1740272262603,0.0,1
2,2,2850983,2523,730643,4,5,1,1,409,54500,470.22200863950496,0.0,1
3,3,2874293,1672,2348732,1,0,5,3,460,80000,365.67593034998964,0.0,1
4,4,3327614,3158,2572422,1,12,2,2,394,47000,506.01917757243166,0.0,1
5,5,1129599,1768,1517839,4,15,3,3,385,42500,610.9069743426692,0.0,1
6,6,3324653,1670,4838978,2,1,1,0,360,30000,373.6933033456519,0.0,1
7,7,2136060,1685,2132121,6,9,5,1,498,99000,614.0652802038632,0.0,1
8,8,1629036,2801,2314810,6,0,4,0,644,172000,482.5145032950562,16.493718792049542,0
9,9,3163040,1195,2191813,6,0,2,0,761,230500,476.12370922033847,14.716974294242899,0
10,10,2466636,2261,1724313,1,20,4,1,391,45500,673.6727783745757,0.0,1
11,11,1260121,4161,1315611,4,2,3,3,329,14500,395.1896631715247,0.0,1
12,12,202024,956,3927332,9,15,2,2,343,21500,725.2039056307251,0.0,1
13,13,1155993,2542,2549890,10,11,4,3,491,95500,707.2753378319888,0.0,1
14,14,3986509,2147,3538596,1,11,3,1,794,247000,541.6353874370895,14.14132408894203,0
15,15,3745857,4522,2146224,4,10,3,3,570,135000,535.6781947492979,19.657393832852726,0
16,16,4414226,2302,3340664,8,17,4,0,710,205000,795.7613282677507,13.004057127673722,0
17,17,2653489,3462,579789,4,11,5,2,560,130000,601.2414141617143,18.997238657588277,0
18,18,2686976,2534,2988743,5,5,2,1,351,25500,483.6841379863754,0.0,1
19,19,1917902,4266,477775,8,20,4,0,443,71500,837.3128384777376,0.0,1
20,20,4673895,1110,1689839,8,1,4,1,813,256500,530.7180769711223,8.946122340100638,0
21,21,4898950,3563,4908993,7,3,4,0,378,39000,537.4192362046709,0.0,1
22,22,3288974,1104,2229263,5,15,5,1,312,6000,691.7464105971994,0.0,1
23,23,1034322,3845,4684067,8,15,2,0,615,157500,724.4924169372774,16.105939182213763,0
24,24,4395585,3870,4187378,9,13,1,2,542,121000,680.5803432680809,20.11932481272024,0
25,25,2865473,2243,618735,1,3,3,0,350,25000,417.7279573759596,0.0,1
26,26,1515123,2879,4459220,2,18,4,3,567,133500,651.6258345795551,21.61220437733857,0
27,27,4530876,4017,921992,1,3,4,2,615,157500,404.8029045420667,17.63237272946424,0
28,28,3226888,453,2834707,9,15,4,1,694,197000,769.6032596685108,15.238790470438113,0
29,29,3974694,573,1624117,7,18,2,3,688,194000,726.7498652772631,16.948168227490772,0
30,30,123497,458,1092834,10,9,3,1,711,205500,672.5872635331427,13.33601497220064,0
31,31,3579507,4180,3490591,10,13,3,3,693,196500,717.4019751209494,16.3892367242273,0
32,32,1128963,1000,811913,2,20,2,2,610,155000,671.0046106816238,17.94278925915805,0
33,33,4984309,2189,4036015,1,4,5,2,381,40500,427.1227636220414,0.0,1
34,34,1994950,830,2352504,7,3,5,2,534,117000,521.1694784265374,19.813024489029257,0
35,35,651493,1695,4415210,5,10,5,0,552,126000,652.6812567775512,19.679310388608915,0
36,36,4970010,4282,4998516,2,13,1,0,325,12500,555.990837725873,0.0,1
37,37,4816095,828,4839485,4,9,2,3,649,174500,502.4467250932729,15.491725292789273,0
38,38,4579665,2804,1251713,10,16,2,2,622,161000,757.9387910326209,16.42505450356856,0
39,39,2091921,1959,245415,5,4,5,1,414,57000,508.4857008593609,0.0,1
40,40,4430843,3721,348957,10,2,5,3,643,171500,534.1548461497622,15.505266498890302,0
41,41,1306949,3652,1944341,1,3,5,0,840,270000,457.7090549665646,8.289350344092844,0
42,42,3252934,3383,721113,2,6,2,3,435,67500,432.8897064471819,0.0,1
43,43,783529,3670,3088779,6,20,5,2,395,47500,780.4322152951842,0.0,1
44,44,4946881,4413,2862401,10,18,4,1,680,190000,823.9197270216158,17.178397150961473,0
45,45,1340606,3637,2573261,5,14,4,1,786,243000,656.1846835112669,12.004229997202476,0
46,46,474222,1203,766960,1,14,2,2,336,18000,565.9637625723902,0.0,1
47,47,1598257,4927,3139428,5,20,4,2,351,25500,740.6681769484002,0.0,1
48,48,1596330,3048,3746194,3,2,2,1,526,113000,399.9091955869769,21.182884769098006,0
49,49,2794628,1679,1322521,5,9,1,2,817,258500,555.4965182419681,7.0500031034997885,0
50,50,606129,1240,4773019,4,9,3,3,664,182000,533.1637329532105,15.90584325737001,0
51,51,4489456,3436,493040,1,7,1,0,639,169500,446.5496235451151,16.86393415801429,0
52,52,3662316,2022,828579,9,13,1,3,707,203500,648.8889226010434,10.799854259882721,0
53,53,4426700,2891,1165765,7,20,1,0,789,244500,785.9596095772647,10.063968826213783,0
54,54,1298527,2787,501437,1,19,4,2,399,49500,665.3018106002291,0.0,1
55,55,1760862,3108,371035,9,2,2,2,658,179000,515.7846101929309,15.68498579956147,0
56,56,1174466,4963,2666874,10,16,2,2,386,43000,748.948344455257,0.0,1
57,57,3005450,2518,1726990,10,20,4,3,396,48000,853.218263471023,0.0,1
58,58,561850,2708,1784484,4,6,3,3,777,238500,467.2013615344762,13.083249492232664,0
59,59,2382726,3328,4706502,6,17,3,0,471,85500,749.560852216977,0.0,1
60,60,1319645,4769,502557,5,9,4,0,525,112500,610.4870388149172,19.467267990678245,0
61,61,4849138,4052,2165909,9,10,1,0,678,189000,664.1710082090044,15.870449427117848,0
62,62,3484267,4867,3893145,9,19,1,0,456,78000,799.7036347430424,0.0,1
63,63,739456,1640,3989547,3,9,2,2,307,3500,507.962879307639,0.0,1
64,64,4983062,2467,3410751,7,7,2,3,349,24500,535.519883383272,0.0,1
65,65,2117388,369,2416776,1,18,1,0,353,26500,635.2260573744715,0.0,1
66,66,4858628,1516,3409876,6,10,5,1,643,171500,622.6330538924701,17.075170721384247,0
67,67,539217,2037,218402,1,6,5,3,822,261000,435.0931301989499,7.323009731556129,0
68,68,2369994,1939,3595753,8,10,3,3,488,94000,629.8746344297033,0.0,1
69,69,48755,3910,4157400,10,19,3,2,800,250000,824.1352257994786,14.138473885771525,0
70,70,4047438,2979,2567163,8,10,1,1,634,167000,625.1264768895549,15.26736536163644,0
71,71,3641219,1895,869685,9,13,2,1,682,191000,697.8563875643771,16.156555360001054,0
72,72,3904155,2359,2177661,2,0,4,1,670,185000,389.8057558288689,15.657217137612346,0
73,73,3957226,4777,2067875,5,12,1,3,304,2000,559.8136913175481,0.0,1
74,74,3656902,4239,278898,9,5,2,1,691,195500,581.8257497964199,15.16198089551122,0
75,75,2069246,3721,1899086,1,12,5,3,449,74500,522.4289642764375,0.0,1
76,76,3345494,1436,4726950,10,12,1,0,599,149500,708.408851401904,18.49561744514513,0
77,77,4758383,1157,2839993,3,0,5,2,618,159000,413.1074621842119,16.453218030976878,0
78,78,1336152,3984,535610,3,9,4,3,792,246000,511.18583846771617,12.668735642602174,0
79,79,3952537,3372,3905821,10,18,2,3,785,242500,768.4125128677078,10.08895637856492,0
80,80,4800008,1243,3707383,3,13,2,1,714,207000,605.7991686726702,14.141158088163763,0
81,81,257854,925,2792167,5,18,3,1,429,64500,734.2604298248935,0.0,1
82,82,2155414,1407,3900085,5,4,1,0,636,168000,482.2752034839864,15.270823661774385,0
83,83,1690105,3417,340421,9,1,3,0,827,263500,558.0279579600435,7.1992903429468935,0
84,84,1693411,1774,2271151,3,3,1,2,784,242000,414.1770031954271,12.538396316229527,0
85,85,4702165,3061,113319,8,4,4,2,467,83500,553.3206736314228,0.0,1
86,86,4911103,488,2397150,3,1,5,0,759,229500,459.68997486216324,12.368322298343067,0
87,87,1887901,4405,1290128,7,3,1,2,668,184000,468.80110751016764,17.67152409742777,0
88,88,2772684,3470,553482,7,17,2,3,563,131500,702.6899439604863,21.603659845731606,0
89,89,4835011,4065,301757,2,8,3,0,337,18500,506.7917064053294,0.0,1
90,90,1514202,4533,1371113,5,0,3,1,651,175500,421.16183602705314,15.718641373063885,0
91,91,647126,1799,2716903,8,1,3,2,800,250000,466.29677172430274,13.619797793917275,0
92,92,915458,2560,3608996,4,7,4,2,752,226000,527.2502149846227,13.511201414312296,0
93,93,2205369,2967,348655,4,11,4,2,755,227500,585.925286308139,14.685485441517512,0
94,94,1679135,1420,4357624,8,20,3,0,678,189000,832.9699962607945,15.392054835148535,0
95,95,371541,2732,1769918,10,13,1,0,842,271000,744.4117400181415,7.627775512876041,0
96,96,1786742,4572,831055,3,3,5,1,715,207500,484.1911100738745,10.751373053183434,0
97,97,2649890,1059,4124978,1,10,4,2,814,257000,511.70116140449886,7.987489239598885,0
98,98,2258969,4575,713757,1,17,4,3,327,13500,611.4758806956661,0.0,1
99,99,3972816,3181,590126,3,0,1,2,514,107000,341.84285784451197,20.112832885057912,0
100,100,4843230,3214,1278102,9,10,2,0,574,137000,665.8124822487997,20.298018639669703,0
101,101,3084680,1518,1285989,3,0,1,3,756,228000,335.2549397404099,12.93323229150992,0
102,102,4100930,3092,3103378,5,9,3,2,693,196500,560.2208145295858,15.731826882529155,0
